State,Year,Quater,Transaction_type,Transaction_count,Transaction_amount
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Financial Services,2996,383806
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,Others,4037,4410224
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Recharge & bill payments,95544,17526369
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Peer-to-peer payments,44599,151966933
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Merchant payments,1531,1580762
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Financial Services,1364,353171
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,Others,5511,4231146
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Peer-to-peer payments,194214,582082154
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Recharge & bill payments,185793,49972030
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Merchant payments,15739,19577328
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Financial Services,2996,371674
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,Others,5340,6747429
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Recharge & bill payments,157113,39790820
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Peer-to-peer payments,119346,396698085
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Merchant payments,7465,5693604
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Financial Services,1477,297647
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,Others,4174,5159437
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Merchant payments,8331573,3135694669
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Peer-to-peer payments,3962990,9804533561
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Recharge & bill payments,1046280,800283519
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Financial Services,3985,4431276
dadra-&-nagar-haveli-&-daman-&-diu,2023,2,Others,12287,5595163
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Merchant payments,7184933,2778820380
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Peer-to-peer payments,3623830,9079653826
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Recharge & bill payments,979503,746971431
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Financial Services,3546,2855684
dadra-&-nagar-haveli-&-daman-&-diu,2023,1,Others,12173,5789879
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Merchant payments,9582597,3564710651
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Peer-to-peer payments,4630867,10642329946
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Recharge & bill payments,1139193,878917740
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Financial Services,5572,5268269
dadra-&-nagar-haveli-&-daman-&-diu,2023,3,Others,12099,4839857
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Peer-to-peer payments,843550,2512913026
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Merchant payments,802899,430487473
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Recharge & bill payments,471136,208762964
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Financial Services,1826,1763792
dadra-&-nagar-haveli-&-daman-&-diu,2021,2,Others,5672,3741204
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Peer-to-peer payments,768921,2379220756
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Merchant payments,705821,367522132
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Recharge & bill payments,442926,213177144
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Financial Services,2243,1930008
dadra-&-nagar-haveli-&-daman-&-diu,2021,1,Others,5333,3782868
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Merchant payments,2013673,1058989463
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Peer-to-peer payments,1577168,4202291071
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Recharge & bill payments,551618,294991582
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Financial Services,2909,3159306
dadra-&-nagar-haveli-&-daman-&-diu,2021,4,Others,11717,6407962
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Merchant payments,1312241,706774071
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Peer-to-peer payments,1262732,3339347400
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Recharge & bill payments,544322,253199754
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Financial Services,2065,2252116
dadra-&-nagar-haveli-&-daman-&-diu,2021,3,Others,8110,4365759
tripura,2019,2,Peer-to-peer payments,240776,751113516
tripura,2019,2,Recharge & bill payments,218649,48989430
tripura,2019,2,Merchant payments,64829,35275706
tripura,2019,2,Financial Services,1899,339184
tripura,2019,2,Others,6405,6103644
tripura,2019,1,Peer-to-peer payments,296993,679165332
tripura,2019,1,Recharge & bill payments,227997,44429378
tripura,2019,1,Merchant payments,46642,28109966
tripura,2019,1,Financial Services,4189,461473
tripura,2019,1,Others,5105,4728790
tripura,2019,4,Recharge & bill payments,373779,88001651
tripura,2019,4,Peer-to-peer payments,359076,1071507585
tripura,2019,4,Merchant payments,62458,51274033
tripura,2019,4,Financial Services,2239,377097
tripura,2019,4,Others,4272,4239791
tripura,2019,3,Recharge & bill payments,339539,81845425
tripura,2019,3,Peer-to-peer payments,270163,884623553
tripura,2019,3,Merchant payments,68399,44802063
tripura,2019,3,Financial Services,27970,582020
tripura,2019,3,Others,5646,5524358
tripura,2022,2,Peer-to-peer payments,1443647,5354182193
tripura,2022,2,Merchant payments,1322009,1235804019
tripura,2022,2,Recharge & bill payments,638643,278018856
tripura,2022,2,Financial Services,3812,4533635
tripura,2022,2,Others,10553,5732336
tripura,2022,1,Peer-to-peer payments,1221863,4934712034
